Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
5.339740,Click,MainView,74,"(-32.119491538809775, -17.636991141429498, -11.60908837773692)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
7.508043,Click,MainView,126,"(-32.119491538809775, -17.636991141429498, -11.60908837773692)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
7.641460,Rotate,MainView,-,"(-35.30145892850912, -17.636991141429498, -2.199388641438915)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
7.753937,Rotate,MainView,-,"(-37.13372400447111, -17.636991141429498, 5.25554627378275)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
9.040081,Click,MainView,80,"(-37.13372400447111, -17.636991141429498, 5.25554627378275)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
11.176614,Click,MainView,126,"(-37.13372400447111, -17.636991141429498, 5.25554627378275)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
11.268272,Rotate,MainView,-,"(-39.26470775649676, -17.636991141429498, 24.531878567446327)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
11.359692,Rotate,MainView,-,"(-36.89586295831975, -17.636991141429487, 48.29985547676058)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479805,-,-,-,-,-,-
11.468524,Rotate,MainView,-,"(-26.083356770124837, -35.21282683311041, 45.93906394764903)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
11.576661,Rotate,MainView,-,"(-11.283920898162602, -51.55811435903644, 42.70777027400438)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479808,-,-,-,-,-,-
11.998568,Click,MainView,183,"(-11.283920898162602, -51.55811435903644, 42.70777027400438)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479808,-,-,-,-,-,-
12.523483,Click,MainView,196,"(-11.283920898162602, -51.55811435903644, 42.70777027400438)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479808,-,-,-,-,-,-
12.568900,Rotate,MainView,-,"(-6.943895254877981, -50.65952257925243, 58.835032842217785)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
12.689438,Rotate,MainView,-,"(23.808950425740782, -30.00984453937961, 113.50427611717643)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
