Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
2.190503,Click,TissueList,20,"(132.49534066039524, -34.70702013677094, 89.86662245821026)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",107.88859600897817,-,-,-,-,-,-
2.337724,DoubleClick,TissueList,20,"(132.49534066039524, -34.70702013677094, 89.86662245821026)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",107.88859600897817,-,-,-,-,-,-
5.046718,ZoomOut,MainView,-,"(148.14180994305082, -47.06922144442171, 100.62235280429125)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",130.5452011708636,-,-,-,-,-,-
5.823519,ZoomOut,MainView,-,"(167.07403777506406, -62.02748502667914, 113.63678652304924)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",157.959693416745,-,-,-,-,-,-
5.926800,ZoomOut,MainView,-,"(189.98203345180005, -80.12698396121061, 129.3842513227464)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",191.13122903426145,-,-,-,-,-,-
6.023028,ZoomOut,MainView,-,"(217.70070822065063, -102.02737767199372, 148.43868373037998)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
7.193471,Rotate,MainView,-,"(219.72635473037838, -119.5967772072629, 120.2569640925566)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
7.287803,Rotate,MainView,-,"(186.94940282691402, -158.12104989169595, -21.58149446314247)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.2687871314564,-,-,-,-,-,-
7.401382,Rotate,MainView,-,"(139.76629672536552, -144.17266301387514, -97.2243510926146)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
7.486667,Rotate,MainView,-,"(134.84583470618293, -141.62951126730195, -103.09674186485464)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.2687871314564,-,-,-,-,-,-
7.585145,Rotate,MainView,-,"(129.19869011127378, -138.52718863597275, -109.49640857169771)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.2687871314564,-,-,-,-,-,-
7.705617,Rotate,MainView,-,"(114.28921123051603, -129.47165813604659, -124.79101364807204)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
7.813488,Rotate,MainView,-,"(96.0753091779, -116.87623743345641, -140.63651146299694)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
7.906180,Rotate,MainView,-,"(96.76089687333844, -117.37876258124093, -140.09270994904477)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
7.988853,Rotate,MainView,-,"(109.63201930075454, -126.40415023648855, -129.12610093559425)","(57.988344076321205, 24.16060513775644, 38.64885890544368)",231.26878713145638,-,-,-,-,-,-
